time_ms;diff_ms;c;cust_count;iteration;min_c;max_c
time_ms;diff_ms;c;cust_count;iteration;min_c;max_c
21245;21245;0.1;1000.0;1;0;0 
24119;2873;50.05;0.0;2;0;0 
27992;3871;25.075;209.0;3;0;0 
49127;21135;12.5875;1000.0;4;0;0 
70562;21433;18.83125;938.0;5;0;0 
91832;21270;21.953125;885.0;6;0;0 
96040;4207;23.5140625;264.0;7;0;0 
117181;21139;22.73359375;839.0;8;0;0 
122282;5099;23.123828125000003;264.0;9;0;0 
143548;21266;22.9287109375;826.0;10;0;0 
164826;21277;23.02626953125;826.0;11;0;0 
185987;21160;23.075048828125002;826.0;12;0;0 
191450;5463;23.099438476562504;274.0;13;0;0 
212679;21227;23.08724365234375;826.0;14;0;0 
233985;21304;23.093341064453128;826.0;15;0;0 
time_ms;diff_ms;c;cust_count;iteration;min_c;max_c
21120;21120;0.1;1000.0;1;0;0 
24084;2962;50.05;0.0;2;0;0 
27815;3730;25.075;209.0;3;0;0 
49169;21354;12.5875;1000.0;4;0;0 
70806;21635;18.83125;938.0;5;0;0 
92096;21289;21.953125;885.0;6;0;0 
96242;4145;23.5140625;264.0;7;0;0 
117631;21389;22.73359375;839.0;8;0;0 
122848;5216;23.123828125000003;264.0;9;0;0 
144454;21604;22.9287109375;826.0;10;0;0 
165687;21232;23.02626953125;826.0;11;0;0 
186956;21268;23.075048828125002;826.0;12;0;0 
192362;5405;23.099438476562504;274.0;13;0;0 
213548;21185;23.08724365234375;826.0;14;0;0 
234877;21327;23.093341064453128;826.0;15;0;0 
time_ms;diff_ms;c;cust_count;iteration;min_c;max_c
19767;19767;0.1;1000.0;1;0;0 
22520;2753;50.05;0.0;2;0;0 
25924;3402;25.075;209.0;3;0;0 
45561;19635;12.5875;1000.0;4;0;0 
65379;19818;18.83125;938.0;5;0;0 
99164;33784;21.953125;885.0;6;0;0 
103102;3938;23.5140625;264.0;7;0;0 
122679;19575;22.73359375;839.0;8;0;0 
127484;4805;23.123828125000003;264.0;9;0;0 
147021;19536;22.9287109375;826.0;10;0;0 
166463;19441;23.02626953125;826.0;11;0;0 
185990;19526;23.075048828125002;826.0;12;0;0 
191040;5049;23.099438476562504;274.0;13;0;0 
210489;19447;23.08724365234375;826.0;14;0;0 
230048;19559;23.093341064453128;826.0;15;0;0 
time_ms;diff_ms;c;cust_count;iteration;min_c;max_c
19455;19455;0.1;1000.0;1;0;0 
22130;2674;50.05;0.0;2;0;0 
25552;3421;25.075;209.0;3;0;0 
45205;19653;12.5875;1000.0;4;0;0 
64853;19647;18.83125;938.0;5;0;0 
84327;19473;21.953125;885.0;6;0;0 
88177;3849;23.5140625;264.0;7;0;0 
107758;19580;22.73359375;839.0;8;0;0 
112457;4699;23.123828125000003;264.0;9;0;0 
132136;19663;22.9287109375;826.0;10;0;0 
151792;19654;23.02626953125;826.0;11;0;0 
171311;19519;23.075048828125002;826.0;12;0;0 
176338;5025;23.099438476562504;274.0;13;0;0 
195750;19411;23.08724365234375;826.0;14;0;0 
215310;19559;23.093341064453128;826.0;15;0;0 
time_ms;diff_ms;c;cust_count;iteration;min_c;max_c
19453;19453;0.1;1000.0;1;0;0 
22123;2670;50.05;0.0;2;0;0 
25579;3455;25.075;209.0;3;0;0 
45170;19591;12.5875;1000.0;4;0;0 
64886;19714;18.83125;938.0;5;0;0 
84381;19493;21.953125;885.0;6;0;0 
88248;3866;23.5140625;264.0;7;0;0 
107718;19469;22.73359375;839.0;8;0;0 
112402;4683;23.123828125000003;264.0;9;0;0 
131877;19473;22.9287109375;826.0;10;0;0 
151404;19527;23.02626953125;826.0;11;0;0 
170691;19286;23.075048828125002;826.0;12;0;0 
175726;5033;23.099438476562504;274.0;13;0;0 
195109;19382;23.08724365234375;826.0;14;0;0 
214620;19510;23.093341064453128;826.0;15;0;0 
time_ms;diff_ms;c;cust_count;iteration;min_c;max_c
19464;19464;0.1;1000.0;1;0;0 
22116;2651;50.05;0.0;2;0;0 
25608;3475;25.075;209.0;3;0;0 
45098;19490;12.5875;1000.0;4;0;0 
64558;19460;18.83125;938.0;5;0;0 
84116;19556;21.953125;885.0;6;0;0 
87941;3825;23.5140625;264.0;7;0;0 
107540;19598;22.73359375;839.0;8;0;0 
112132;4590;23.123828125000003;264.0;9;0;0 
131636;19503;22.9287109375;826.0;10;0;0 
151259;19621;23.02626953125;826.0;11;0;0 
170924;19664;23.075048828125002;826.0;12;0;0 
175974;5049;23.099438476562504;274.0;13;0;0 
195623;19649;23.08724365234375;826.0;14;0;0 
215044;19420;23.093341064453128;826.0;15;0;0 
time_ms;diff_ms;c;cust_count;iteration;min_c;max_c
19502;19502;0.1;1000.0;1;0;0 
22187;2684;50.05;0.0;2;0;0 
25678;3490;25.075;209.0;3;0;0 
45193;19514;12.5875;1000.0;4;0;0 
64746;19553;18.83125;938.0;5;0;0 
84340;19593;21.953125;885.0;6;0;0 
88174;3834;23.5140625;264.0;7;0;0 
125199;37009;22.73359375;839.0;8;0;0 
129858;4657;23.123828125000003;264.0;9;0;0 
149756;19898;22.9287109375;826.0;10;0;0 
169187;19430;23.02626953125;826.0;11;0;0 
188746;19559;23.075048828125002;826.0;12;0;0 
193755;5007;23.099438476562504;274.0;13;0;0 
213467;19711;23.08724365234375;826.0;14;0;0 
233067;19599;23.093341064453128;826.0;15;0;0 
time_ms;diff_ms;c;cust_count;iteration;min_c;max_c
19550;19550;0.1;1000.0;1;0;0 
22221;2671;50.05;0.0;2;0;0 
25717;3495;25.075;209.0;3;0;0 
45421;19703;12.5875;1000.0;4;0;0 
65161;19739;18.83125;938.0;5;0;0 
84755;19594;21.953125;885.0;6;0;0 
88661;3904;23.5140625;264.0;7;0;0 
108345;19684;22.73359375;839.0;8;0;0 
113021;4675;23.123828125000003;264.0;9;0;0 
133068;20045;22.9287109375;826.0;10;0;0 
152699;19631;23.02626953125;826.0;11;0;0 
172322;19621;23.075048828125002;826.0;12;0;0 
177425;5103;23.099438476562504;274.0;13;0;0 
197113;19686;23.08724365234375;826.0;14;0;0 
216601;19487;23.093341064453128;826.0;15;0;0 
time_ms;diff_ms;c;cust_count;iteration;min_c;max_c
19465;19465;0.1;1000.0;1;0;0 
22112;2646;50.05;0.0;2;0;0 
25697;3569;25.075;209.0;3;0;0 
45283;19585;12.5875;1000.0;4;0;0 
64951;19668;18.83125;938.0;5;0;0 
84540;19573;21.953125;885.0;6;0;0 
88381;3840;23.5140625;264.0;7;0;0 
